Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,,General Notes
Upgrade,Self,X Rnds,X = Level   Y = Influence,-,Exhaust a card. Add Y to each Defense or Attack roll you make,Discard,Built from Scraps,Self,Instant,X = Exhausted cards from Discard,Weapon,"Spend X to perform the following:     1) Add 25 feet to your movement    3) Attack target enemy, they cannot defend    5) Take an additional turn after this one",Exhaust,2 Level Points,1 Perception  2 Vigor  3 Finesse  1 Knowledge,,perception 36
Well of Life,Self,1 Rnd,X = Influence,-,"Only this action can be played this turn. At start of next turn, recover all discarded cards, heal for X, and add X to defence values",Exhaust,Guided Strike,Enemy,1 Rnd,Attack,Weapon,"Attack target once this turn, again at start of next turn",Discard,2 Level Points,2 Strength  2 Knowledge  3 Vigor,,vigor 35
Neck Cracker,Enemy,Instant,Attack    X = Level,Unarmed,"Make an Unarmed attack, add X to the Attack Value. If you deal damage Attack Target Enemy again. Target Enemy cannot use movement on their next turn.",Hand,Shatter Weapon,Enemy,Instant,Attack    X = Level,Unarmed,"Make an Unarmed attack against an enemy. Lose X life. If you deal damage, you may choose to destroy one of their equipped weapons",Exhaust,2 Level Points,2 Charisma  5 Strength,,finesse 34
Turn Warp,Self,Instant,X = Level,-,"Lose X life. Take an extra turn after this turn ends and then lose X life again. After taking your extra turn, you must skip your next turn. ",Exhaust,Extra Steps,Self,Instant,X = Level,-,"Perform X non-action abilities, and lose 1 life for each one taken.",Exhaust,2 Level Points,7 Knowledge,,knowledge 35
Organize,Self,Instant,X = Level,-,"Decide, layout, and expose the actions for your next turn. Everyone/everything around you knows your next turn. Recover X life, return X cards from discard, and add X to your next roll.",Exhaust,Scheme,Self,Instant,,-,"During the next round, you may play either of your two actions at any point not during an active turn. At the end of that round, play any actions you have not already. ",Return to Hand,2 Level Points,5 Knowledge  2 Vigor,,strength 43
Gravity Well,Area,X Rnds,X = Level ,Influence,Target area 5 feet by 5 feet. All Enemies in and adjacanet to that area cannot move more than 5 feet from targetted area unless they take and succeed an influence check against you.,Discard,Inversion,Area,X Rnds,X = Level,influence,Target area 5 feet by 5 feet. Enemies cannot move onto or adjacent to the targetted area unless they make and succeed an influence roll against you.,Discard,2 Level Points,3 Charisma  4 Craftsmanship,,spirituality 31
Hookshot,Area,Instant,,-,Target 5 by 5 foot area within 45 feet and jump to that location,Discard,Lasso,Ally,Instant,,-,Target Ally within 45 feet and pull them adjacent to you.,Discard,2 Level Points,4 Finesse  3 Charisma,,charisma 29
Teamwork,Enemy,Instant,Attack ,Weapon,"If you and a chosen ally attack the same enemy, return this card from discard, and both you and ally may return one card from discard",Discard,Dreamwork,Ally,1 Rnd,X = Level,-,"If Target Ally heals or buffs you, add X to their value.",Hand,2 Level Points,5 Spirituality  2 Knowledge,,craftmanship 41
Take my Hand,Ally,Instant,,-,"Choose an ally within 15 feet, they may move to your location. Each of you may now move up to 10 feet.",Discard,Duplicate,Ally,1 Rnd,,Weapon,"Copy targets next action if the action is valid with your equipment and skills, and then play it after targets turn ends.",Hand,2 Level Points,4 Charisma  3 Knowledge,,
Faithful Watch,Area,X Rnds,X = Influence   Y = Level,-,Create a summon on a 5 by 5 space. It has a range of 45 and an attack of X + Y. It's health is equal to your health at the time of casting. Discard a card.,Discard,Swap,Summon,Instant,,Influence,Swap places with a target summon. Gain 15 feet of movement,Discard,2 Level Points,6 Spirituality  1 Finesse,,
Recycle,Summon,Instant,X = Life of Summon,Influence,Destroy target summon you control. Heal for X life. Return two cards from discard.,Exhaust,Comitted,Summon,Instant,X = Life,Influence,"Lose X life, target summon heals for X life.",Discard,2 Level Points,4 Spirituality  2 Vigor  1 Knowledge,,
Teleport,Target,Instant,Influence,Influence,Roll influence if target is unwilling. Teleport target to a 5 by 5 surface. Exhaust a card.,Discard,Respawn,Area,Day,,-,Mark 5 by 5 area. Teleport to target spot no matter the location,Exhaust,2 Level Points,5 Spirituality  2 Charisma,,
Doorway,,5 Rnds,,Influence,Exhaust a card. Summon two doorways. Willing beings can walk through one to come out the other.,Discard,Box,Area,3 Rnds,,Influence,Discard a card. Create a 10 by 10 by 10 box over a space. It has 50 hitpoints.,Discard,2 Level Points,7 Spirituality,,
Push,Target,Instant,Influence,Influence,If unwilling roll Influence. Push target up to 25 feet in a direction.,Discard,Pull,Target,Instant,Influence,Influence,If unwilling roll influence. Pull a target in your direction up to 25 feet.,Discard,2 Level Points,7 Charisma,,
Resolve,Self,2 Rnds,X = Level,-,Set your life total to X. You cannot take damage from attacks.,Exhaust,Heroic Defense,Self,2 Rnds,,-,Double all Defense Values. You cannot make an attack. ,Discard,2 Level Points,1 Craftsmanship  6 Vigor,,
Predator,Enemy,X Rnds,X = Level,Influence,"At the beginning of each of your turns, mark target enemy",Exhaust,Ambush,Enemy,Instant,,Influence,Remove mark from target enemy. Gain 20 feet of movement. Play two additional actions this turn.,Exhaust,2 Level Points,4 Perception  1 Finesse  2 Knowledge,,
Soothing Touch,Ally/Self,Instant,X = Influence,Influence,Heal adjacent Targets up to X hitpoints each,Exhaust,Give Haste,Ally,X Rnds,X = Level,Influence,"While Active you can only play one action per turn, and target ally can play one additional action per turn.",Discard,2 Level Points,4 Spirituality  2 Knowledge  1 Vigor,,
Harvest,Enemy,Instant,"Influence,  X = marked tokens consumed",Weapon,"If X = 1, gain 50 ft. movement. If X = 2, attack target twice (if able). If X = 3, return all cards from discard and draw a card.",Discard,Forced Reduction,Enemies,X Rnds,"Influence, X = level",Influence,"For each mark on enemies, reduce their movement by 10 ft.",Exhaust,2 Level Points,1 Intelligence  1 Strength  1 Finesse  4 Perception,,
Grapple ,Enemy,1 Rnd,Attack    X = Level,Close,"If you deal damage and are at range Close, you may instead grapple the Target Enemy. ",Discard,Disable,Enemy,X Rnds,Attack    X = Level,Weapon,"If you deal damage, you may instead disable the enemy",Discard,2 Level Points,7 Strength,,
Relentless Suppression ,Enemy,X Rnds,Attack    X = Level,Weapon,If you deal damage you may also disable the enemy,Exhaust,Cripple,Enemy,X Rnds,Attack    X = Level,Weapon,If you deal damage you may instead disable the Target and take X damage. If they were already Disabled then they cannot remove this disabled affect.,Exhaust,2 Level Points,5 Strength  2 Finesse,,
Devastating Grasp,Enemy,1 Rnd,Attack,Close,"If you deal damage and are at range Close then instead grapple Target Enemy. If you Grappled Target Enemy, you may remove Consumed tokens on Target for the follow affect: Remove an Attack Token to add 1 RND to the duration of this grapple. Remove a Defense Token to remove an equipped weapon from Target. Remove an Influence Token to reduce Targets next turn by one action.",Exhaust,Smackdown,Enemy,1 Rnd,Attack,Close,If you deal damage and are at Range close then instead grapple Target Enemy and knock them Prone.,Discard ,2 Level Points,6 Strength  1 Knowledge,,
Sicken,Enemy,Instant,Influence ,Influence,If you succeed then Target Enemy gains a stack of Poison.,Discard ,Coated Weapon,Self,1 Rnd,,-,If you deal damage to an enemy with an Attack they gain a stack of Poison. ,Exhaust,2 Level Points,2 Strength  5 Craftmanship,,
Contagious,Self,Instant,,-,You gain a stack of Poison. Each time an enemy attacks you they gain a stack of Poison. ,Discard,Consume Sickness,Enemy,X Rnds,X = Level,-,"You may remove all poison stacks from an Enemy. If you do, gain X life at the start of your next X turns",Exhaust,2 Level Points,4 Craftmanship  3 Vigor,,
