ID,Top Ability Name,Top Ability Target,Top Ability Duration,Top Ability Die Roll/Scaler,Top Weapon Or Influence,Top Ability Rules,Top Ability Following Card Action,Bottom Ability Name,Bottom Ability Target,Bottom Ability Duration,Bottom Ability Die Roll/Scaler,Bottom Weapon Or Influence,Bottom Ability Rules,Bottom Ability Following Card Action,Passives,Requirements,New Card Names,Robin's Thoughts,Ory's Thoughts
1,Hit The Bricks,Self,,,N/A,Gain 80 feet of movement. Draw a card from your deck,Exhaust,Run!!!!!,Self,Instant,,N/A,Gain 40 ft movement,Hand,All movement taken is doubled,,,,
2,Overtime,Self,,,N/A,"Choose a non-instant action from a card in your hand, play it in place of this action. The duration of that card is doubled. Draw a card from your deck",Exhaust,Rescheduling,Self,Instant,,N/A,Return an active card to your hand,Hand,Can have 2 actives on at the same time,,,,
3,Free Pass,Self,X rnds,X = level,N/A,Tokens that would be consumed return to you instead. Draw a card from your deck,Exhaust,Pen over Sword,Self,Instant,,N/A,"Consume up to X contact tokens, return X cards from discard",Hand,Double contact token effect,,,,
4,Planner,Self,1 Day,X = Level,N/A,Add X to influence rolls. Draw a card from your deck,Exhaust,Mindflay,Enemy,Instant,X = Influence,Influence,"On success, deal X damage",Hand,Double Influence Range,,,,
5,Hyperactive,Self,1 Rnd,,N/A,Add 1D4 to every die rolled. Draw a card from your deck,Exhaust,Douglas's Damage,Enemy,Instant,X = Level,N/A,Roll Xd4's. Deal that damage to enemy,Hand,Add 1D4 to every roll made,,,,
6,Bleed Out,Self,X Rnds,X = Level    Y = damage taken,N/A,"On next instance of damage taken, take 1 damage for Y rounds instead. Draw a card from your deck",Exhaust,Weapon Master,Enemy,Instant,Attack,Weapon,"For this action, add the defense die of one equipped weapon to the attack value",Hand,You may reroll your lowest defense die 1/rnd,,,,
7,Backup Backup plan,Self,Instant,X = Size of hand deck,N/A,"Shuffle hand into deck, then draw X cards. Then draw a card from your deck",Exhaust,Backup Plan,Self,Instat,,N/A,"return a card to your deck, shuffle your deck, then draw a card from your deck.",Hand,Hand size increases by 1,,,,
8,Effective Recall,Self,Instant,,N/A,Return any number of active cards to your hand without incurring their costs,Exhaust,Re-evaluation,Target,Instant,,N/A,"Pick an active effect. Immediately apply it's effect once more, then incur its cost",Hand,Increase amount of active cards that can be in play by 1,,,,
9,Keep the Combo Going,Self,Instant,,N/A,Return a card from Exhaust to your hand,Exhaust,Old Reliable,Self,Instant,,N/A,Discard a card. Return 2 cards from discard,Hand,Pick 2 cards to bring into combat before drawing your hand,,,,
10,Healing Surge,Target,Instant,X = Level,N/A,Heal target for 5*X,Exhaust,Ready Pack,Self,1 Rnd,,N/A,Healing effects heal for 2 more additional points,Hand,all healing effects heal for 2 additional points,,,,
11,Cataclysm,Enemy,Instant,Attack,Weapon,Roll attack dice for 1 weapon twice for this attack,Exhaust,Whipping Strike,Enemy,Instant,Attack    X = Level,Weapon,Increase attack value by X,Hand,Reduce the handed-ness requirement of a 2-handed weapon by 1 hand,,,,
12,Effective Rationing,Self,Instant,,N/A,Gain the advantage of a consumable without consuming said consumable,Exhaust,Momentous Dash,Self,Instant,,N/A,"gain 10 ft. of movement. For every 10 feet of movement this turn, add +1 to your next roll",Hand,Gain a non-card action each turn,,,,
13,Soup Kitchen,Allies,Instant,,Influence,Return all consumed tokens for allies,Exhaust,Under Control,Enemy,Instant,X = Level,N/A,gain 10 ft. of movement. Can move X tokens of allies to other targets,Hand,Your contact token buffs apply for allies as well,,,,
14,Power Overwhelming,Self,1 Rnd,,N/A,Increase buff of contact tokens by 2,Exhaust,New Framing,Enemy,1 Rnd,,N/A,Treat all tokens as whichever token type you want,Hand,Increase buff of contact tokens by 1,,,,
15,z,z,z,,N/A,z,Exhaust,z,z,z,,N/A,z,Hand,Active cards last twice as long,,,,
16,z,z,z,,N/A,z,Exhaust,z,z,z,,N/A,z,Hand,Gain 3 to max health for each curse,,,,
17,z,z,z,,N/A,z,Exhaust,z,z,z,,N/A,z,Hand,Reduce the handed-ness requirement of any weapon by 1 hand,,,,
18,z,z,z,,N/A,z,Exhaust,z,z,z,,N/A,z,Hand,"Once per combat, apply a debuff of an action before taking the action that would apply the debuff",,,,
19,Unload,Self,Instant,,N/A,Use both the top and bottom actions of a card in hand,Exhaust,z,z,z,,N/A,z,Hand,z,,,,
20,Blue Magic - Blast,Target,Instant,Attack,Weapon,Use enemies special attack,Exhaust,Blue Magic - Wisp,Target,Instant,Attack,Weapon,Use an enemies basic attack,Hand,z,,,,
